Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
1,25,26,25,4,25
4,23,24,28,25,29
4,23,25,29,26,29
3,24,26,29,27,28
2,25,27,28,26,27
1,26,26,27,25,26
1,27,26,26,24,25
2,28,25,25,23,24
3,29,24,24,22,23
4,29,23,23,21,22
5,29,22,22,20,23
4,28,23,22,19,24
3,27,24,23,18,25
2,26,25,24,17,26
1,25,26,25,16,25
1,25,26,25,15,25
1,25,26,25,14,25
1,25,26,25,13,25
1,25,26,25,12,25
1,25,26,25,11,25
1,25,26,25,10,25
1,25,26,25,9,25
1,25,26,25,8,25
1,25,26,25,7,25
1,25,26,25,6,25
1,25,26,25,5,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
1,25,26,25,4,25
