Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
0,14,24,1,16,1
11,10,18,3,25,4
11,11,19,2,26,5
12,11,20,3,27,6
12,12,21,4,26,5
11,12,22,5,25,4
11,11,23,6,24,3
11,12,22,5,25,2
11,13,23,4,26,1
11,12,24,5,26,2
11,11,25,6,25,1
10,11,26,7,24,1
10,12,25,6,24,0
10,13,26,5,24,0
10,12,27,4,24,0
9,12,26,5,25,1
8,12,27,4,25,0
8,13,26,5,24,1
7,13,27,6,23,1
7,12,27,5,23,0
7,13,26,5,23,0
6,13,27,4,22,1
6,14,28,3,22,0
5,14,27,2,21,1
4,14,26,1,20,1
4,15,25,0,20,2
3,15,26,1,21,3
2,15,25,2,20,2
2,14,24,1,20,3
2,13,24,0,19,2
2,14,25,1,18,1
2,13,25,2,18,0
1,13,24,1,17,1
1,14,24,2,16,1
1,15,25,1,15,1
1,14,24,1,16,2
2,14,23,1,17,3
1,14,23,2,16,2
0,14,24,1,16,1
