Season,DayNum,T2_TeamID,T2_Score,T1_TeamID,T1_Score,NumOT,T2_FGM,T2_FGA,T2_FGM3,T2_FGA3,T2_FTM,T2_FTA,T2_OR,T2_DR,T2_Ast,T2_TO,T2_Stl,T2_Blk,T2_PF,T1_FGM,T1_FGA,T1_FGM3,T1_FGA3,T1_FTM,T1_FTA,T1_OR,T1_DR,T1_Ast,T1_TO,T1_Stl,T1_Blk,T1_PF,PointDiff,Label,T1_seed,T2_seed,Seed_diff
2003,134,1411,84,1421,92,1,25.77777777777778,59.55555555555556,10.666666666666666,27.55555555555556,12.444444444444445,27.55555555555556,15.11111111111111,24.88888888888889,14.22222222222222,13.333333333333334,4.444444444444445,0.0,19.55555555555556,28.444444444444443,61.333333333333336,9.77777777777778,25.77777777777778,15.11111111111111,23.11111111111111,12.444444444444445,26.666666666666668,15.11111111111111,10.666666666666666,4.444444444444445,2.6666666666666665,19.55555555555556,8,1,16,16,0
2003,136,1436,51,1112,80,0,20.0,64.0,4.0,16.0,7.0,7.0,8.0,26.0,12.0,17.0,10.0,3.0,15.0,31.0,66.0,7.0,23.0,11.0,14.0,11.0,36.0,22.0,16.0,10.0,7.0,8.0,29,1,1,16,15
2003,136,1272,71,1113,84,0,25.0,69.0,7.0,28.0,14.0,21.0,20.0,22.0,11.0,12.0,2.0,5.0,18.0,31.0,59.0,6.0,14.0,16.0,22.0,10.0,27.0,18.0,9.0,7.0,4.0,19.0,13,1,10,7,-3
2003,136,1166,73,1141,79,0,27.0,60.0,7.0,17.0,12.0,17.0,14.0,17.0,20.0,21.0,6.0,6.0,21.0,29.0,53.0,3.0,7.0,18.0,25.0,11.0,20.0,15.0,18.0,13.0,1.0,19.0,6,1,11,6,-5
2003,136,1301,74,1143,76,1,22.22222222222222,49.77777777777778,8.0,18.666666666666668,13.333333333333334,17.77777777777778,8.88888888888889,23.11111111111111,14.22222222222222,12.444444444444445,4.444444444444445,7.111111111111111,16.88888888888889,24.0,56.888888888888886,6.222222222222222,17.77777777777778,13.333333333333334,20.444444444444443,16.0,17.77777777777778,15.11111111111111,11.555555555555555,7.111111111111111,1.7777777777777777,12.444444444444445,2,1,8,9,1
2003,136,1140,53,1163,58,0,20.0,64.0,2.0,17.0,11.0,13.0,15.0,26.0,11.0,11.0,8.0,4.0,22.0,17.0,52.0,4.0,14.0,20.0,27.0,12.0,29.0,8.0,14.0,3.0,8.0,16.0,5,1,5,12,7
2003,136,1161,57,1181,67,0,18.0,54.0,3.0,11.0,18.0,22.0,11.0,24.0,8.0,19.0,5.0,4.0,19.0,19.0,54.0,4.0,13.0,25.0,31.0,13.0,27.0,4.0,16.0,10.0,8.0,23.0,10,1,3,14,11
2003,136,1153,69,1211,74,0,26.0,66.0,10.0,27.0,7.0,10.0,13.0,22.0,13.0,10.0,7.0,6.0,24.0,20.0,47.0,6.0,14.0,28.0,37.0,8.0,28.0,12.0,12.0,2.0,2.0,15.0,5,1,9,8,-1
2003,136,1443,60,1228,65,0,22.0,58.0,8.0,24.0,8.0,13.0,17.0,18.0,10.0,14.0,6.0,5.0,16.0,24.0,56.0,5.0,14.0,12.0,14.0,15.0,23.0,15.0,14.0,11.0,4.0,14.0,5,1,4,13,9
2003,136,1429,61,1242,64,0,23.0,56.0,6.0,17.0,9.0,10.0,13.0,19.0,13.0,13.0,6.0,1.0,15.0,28.0,51.0,2.0,6.0,6.0,11.0,7.0,20.0,13.0,11.0,8.0,4.0,17.0,3,1,2,15,13
